KRM21ER61E106KFA1,In Production,10uF,25,X5R,2012M/0805,1.9,+/-10%,Metal Terminal General
KRM31FR61E106KH01,In Production,10uF,25,X5R,3216M/1206,2.0,+/-10%,Metal Terminal General
GRT188R61E106ME13,In Production,10uF,25,X5R,1608M/0603,1.0,+/-20%,Infotainment for Automotive [AEC-Q200]
GXT188R61E106ME13,In Production,10uF,25,X5R,1608M/0603,1.0,+/-20%,Water repellent/ Infotainment [AEC-Q200]
GRM188R6YA106MA73,In Production,10uF,35,X5R,1608M/0603,1.0,+/-20%,General Purpose
GRM21BR6YA106KE43,In Production,10uF,35,X5R,2012M/0805,1.45,+/-10%,General Purpose
GRM21BR6YA106ME43,In Production,10uF,35,X5R,2012M/0805,1.45,+/-20%,General Purpose
GXM21BR6YA106KE43,In Production,10uF,35,X5R,2012M/0805,1.45,+/-10%,Water repellent/ General Purpose
GXM21BR6YA106ME43,In Production,10uF,35,X5R,2012M/0805,1.45,+/-20%,Water repellent/ General Purpose
GRT31CR61H106KE01,In Production,10uF,50,X5R,3216M/1206,1.8,+/-10%,Infotainment for Automotive [AEC-Q200]
GRM188C80E106ME47,In Production,10uF,2.5,X6S,1608M/0603,0.9,+/-20%,General Purpose
GRM155C80E106ME44,In Production,10uF,2.5,X6S,1005M/0402,0.7,+/-20%,General Purpose
GXM188C80E106ME47,In Production,10uF,2.5,X6S,1608M/0603,0.9,+/-20%,Water repellent/ General Purpose
GRT155C80E106ME13,In Production,10uF,2.5,X6S,1005M/0402,0.7,+/-20%,Infotainment for Automotive [AEC-Q200]
GRM188C80G106KE47,In Production,10uF,4,X6S,1608M/0603,0.9,+/-10%,General Purpose
GRM188C80G106ME47,In Production,10uF,4,X6S,1608M/0603,0.9,+/-20%,General Purpose
GXM188C80G106ME47,In Production,10uF,4,X6S,1608M/0603,0.9,+/-20%,Water repellent/ General Purpose
GRM188C80J106MEA6,In Production,10uF,6.3,X6S,1608M/0603,0.95,+/-20%,General Purpose
GRM188C81A106MA73,In Production,10uF,10,X6S,1608M/0603,1.0,+/-20%,General Purpose
GXM188C81A106MA73,In Production,10uF,10,X6S,1608M/0603,1.0,+/-20%,Water repellent/ General Purpose
GRT188C81A106ME13,In Production,10uF,10,X6S,1608M/0603,1.0,+/-20%,Infotainment for Automotive [AEC-Q200]
GXT188C81A106ME13,In Production,10uF,10,X6S,1608M/0603,1.0,+/-20%,Water repellent/ Infotainment [AEC-Q200]
GRM21BC81C106KA73,In Production,10uF,16,X6S,2012M/0805,1.4,+/-10%,General Purpose
GRM21BC81C106MA73,In Production,10uF,16,X6S,2012M/0805,1.4,+/-20%,General Purpose
GRM21BC81C106KE15,In Production,10uF,16,X6S,2012M/0805,1.35,+/-10%,General Purpose
GRM21BC81C106ME15,In Production,10uF,16,X6S,2012M/0805,1.35,+/-20%,General Purpose
GXM188C81C106MA73,In Production,10uF,16,X6S,1608M/0603,1.0,+/-20%,Water repellent/ General Purpose
GXM21BC81C106KA73,In Production,10uF,16,X6S,2012M/0805,1.4,+/-10%,Water repellent/ General Purpose
GRM188C81C106MA73,In Production,10uF,16,X6S,1608M/0603,1.0,+/-20%,General Purpose
GXM21BC81C106MA73,In Production,10uF,16,X6S,2012M/0805,1.4,+/-20%,Water repellent/ General Purpose
GRT188C81C106ME13,In Production,10uF,16,X6S,1608M/0603,1.0,+/-20%,Infotainment for Automotive [AEC-Q200]
GXT188C81C106ME13,In Production,10uF,16,X6S,1608M/0603,1.0,+/-20%,Water repellent/ Infotainment [AEC-Q200]
GRM21BC81E106KE11,In Production,10uF,25,X6S,2012M/0805,1.45,+/-10%,General Purpose
GRM21BC81E106ME11,In Production,10uF,25,X6S,2012M/0805,1.45,+/-20%,General Purpose
GXM21BC81E106KE11,In Production,10uF,25,X6S,2012M/0805,1.45,+/-10%,Water repellent/ General Purpose
GXM21BC81E106ME11,In Production,10uF,25,X6S,2012M/0805,1.45,+/-20%,Water repellent/ General Purpose
